Datetime,Value,Temperature,Humidity,Direction,Speed,Rainfall,Pressure,PM 2.5
13/2/2023,IQR,1.11,87,0,0,0,996.5,10
14/2/2023,Mean,31.55887257,43.42363044,41.83158643,1.333179934,0.118080066,759.6808066,47.51936745
14/2/2023,std,7.133072086,28.47309978,64.63366691,1.811093909,0.378027074,427.2233645,10.9845882
14/2/2023,Min,22.78,0,0,0,0,0,31
14/2/2023,Max,43.33,82,315,4.83,11.43,1005.7,100
14/2/2023,25%,24.44,25,0,0,0,997.8,41
14/2/2023,50%,29.44,41,0,0,0,999.5,45
14/2/2023,75%,37.78,73,45,3.22,0,1002.3,50
14/2/2023,IQR,13.34,48,45,3.22,0,4.5,9
15/2/2023,Mean,25.87891654,50.87801125,105.9051788,2.076820714,0.003975699,693.230806,54.20900987
15/2/2023,std,5.844938995,35.14841862,102.057335,11.02105132,0.105809193,463.6615606,26.82916851
15/2/2023,Min,20,0,0,0,0,0,20
15/2/2023,Max,37.78,89,315,112.65,11.43,1004.9,170
15/2/2023,25%,21.67,0,45,0,0,0,38
15/2/2023,50%,22.78,57,45,0,0,1002.5,43
15/2/2023,75%,30.56,85,225,0,0,1003.4,59
15/2/2023,IQR,8.89,85,180,0,0,1003.4,21
16/2/2023,Mean,28.28214847,54.81674485,258.1015601,0.570010197,0.147903538,741.6301315,27.59416743
16/2/2023,std,3.434894367,26.10550064,56.58884568,12.41194998,1.693798201,441.525889,9.328793631
16/2/2023,Min,21.11,0,0,0,0,0,13
16/2/2023,Max,33.89,93,315,434.52,20.32,1007.1,118
16/2/2023,25%,25.56,49,270,0,0,7.8,24
16/2/2023,50%,27.78,59,270,0,0,1004,26
16/2/2023,75%,30.56,74,270,0,0,1006.2,29
16/2/2023,IQR,5,25,0,0,0,998.4,5
17/2/2023,Mean,28.14143006,49.89302508,171.3048324,2.114666957,0.317947925,749.1370798,40.90129316
17/2/2023,std,4.464220542,30.45959628,119.6203992,23.13258371,2.97671554,437.0721402,8.85652824
17/2/2023,Min,21.11,0,0,0,0,0,0
17/2/2023,Max,36.11,96,315,506.94,68.58,1007.8,81
17/2/2023,25%,25,39,45,0,0,9.6,35
17/2/2023,50%,26.11,50,270,0,0,1005,39
17/2/2023,75%,33.33,81,270,1.61,0,1006.4,46
17/2/2023,IQR,8.33,42,225,1.61,0,996.8,11
18/2/2023,Mean,26.10501396,52.01853834,103.7602844,6.908653538,0.151379165,734.3075933,65.96190768
18/2/2023,std,4.109983902,31.57980929,75.99547144,31.12757431,1.512173141,445.2020039,12.38394617
18/2/2023,Min,21.11,0,0,0,0,0,47
18/2/2023,Max,35.56,92,315,506.94,80.01,1008.8,112
18/2/2023,25%,22.78,44,45,0,0,7.6,57
18/2/2023,50%,24.44,61,90,0,0,1003.9,63
18/2/2023,75%,30.56,80,135,3.22,0,1006.1,71
18/2/2023,IQR,7.78,36,90,3.22,0,998.5,14
19/2/2023,Mean,25.73451259,51.27637918,156.205144,4.218999167,0.125878347,724.6119068,62.27936968
19/2/2023,std,7.526511643,34.89621193,94.99824876,31.56434091,0.850290483,448.4706579,14.8695354
19/2/2023,Min,18.33,0,0,0,0,0,43
19/2/2023,Max,41.11,90,315,434.52,8.89,1007.7,115
19/2/2023,25%,20.56,29,90,0,0,9.3,50
19/2/2023,50%,21.11,59,135,0,0,1002.6,59
19/2/2023,75%,32.78,87,270,1.61,0,1005.2,70
19/2/2023,IQR,12.22,58,180,1.61,0,995.9,20
20/2/2023,Mean,27.19111186,53.78396122,233.3479768,3.982565898,1.453234928,755.8153409,74.69906083
20/2/2023,std,7.013811528,30.38704864,89.90616814,19.35859454,6.928148045,432.7173592,31.57341097
20/2/2023,Min,20.56,0,0,0,0,0,43
20/2/2023,Max,40,89,315,112.65,68.58,1007.2,193
20/2/2023,25%,21.11,37,270,0,0,1000.8,51
20/2/2023,50%,23.33,54,270,0,0,1003.1,58
20/2/2023,75%,34.44,84,270,1.61,0,1004.5,89
20/2/2023,IQR,13.33,47,0,1.61,0,3.7,38
21/2/2023,Mean,26.52315779,49.18059381,227.1560144,0.489068356,3.714412777,715.6511767,65.92728092
21/2/2023,std,7.645438543,34.16399855,90.58513928,1.001263029,15.4793226,454.6933784,36.0268203
21/2/2023,Min,19.44,0,0,0,0,0,38.89
21/2/2023,Max,41.67,99,315,4.83,68.58,1008.2,105.9
21/2/2023,25%,20.56,25,270,0,0,0.2,45
21/2/2023,50%,22.22,45,270,0,0,1003.9,57
21/2/2023,75%,32.78,86,270,0,0,1005.5,66
21/2/2023,IQR,12.22,61,0,0,0,1005.3,21
22/2/2023,Mean,26.72153204,56.27317758,222.9979718,0.716607902,0.649253091,779.5172589,72.04848272
22/2/2023,std,7.721544816,30.70706324,113.6695853,3.377153144,4.685980942,418.0810066,24.31537976
22/2/2023,Min,18.89,0,0,0,0,0,38
22/2/2023,Max,41.67,99,315,506.94,80.01,1007.7,154
22/2/2023,25%,20.56,31,135,0,0,1001.7,54
22/2/2023,50%,22.78,68,270,0,0,1004.2,68
22/2/2023,75%,33.89,86,315,1.61,0,1005.1,81
22/2/2023,IQR,13.33,55,180,1.61,0,3.4,27
23/2/2023,Mean,26.20215146,52.40176704,151.1972232,2.889182084,0.088728092,757.088388,75.56247971
